Timecode List:,00:00:14.250,00:00:33.550,00:01:05.617,00:01:20.500,00:01:32.133,00:02:27.767,00:02:36.283,00:03:06.533,00:03:46.750,00:04:04.883,00:04:27.000,00:06:04.533,00:07:20.617,00:08:49.450,00:09:02.567,00:09:09.767,00:09:37.783,00:10:55.900,00:13:06.900,00:14:01.467,00:15:06.150,00:16:37.000,00:17:19.950,00:17:59.600,00:20:06.783,00:22:11.650,00:22:44.633,00:27:01.900,00:27:13.833,00:27:53.133,00:33:03.250,00:33:38.617,00:34:18.883,00:36:29.700,00:43:17.750
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,855,00:00:14.250,14.250,855,00:00:14.250,14.250
2,856,00:00:14.250,14.250,2013,00:00:33.550,33.550,1158,00:00:19.300,19.300
3,2014,00:00:33.550,33.550,3937,00:01:05.617,65.617,1924,00:00:32.067,32.067
4,3938,00:01:05.617,65.617,4830,00:01:20.500,80.500,893,00:00:14.883,14.883
5,4831,00:01:20.500,80.500,5528,00:01:32.133,92.133,698,00:00:11.633,11.633
6,5529,00:01:32.133,92.133,8866,00:02:27.767,147.767,3338,00:00:55.633,55.633
7,8867,00:02:27.767,147.767,9377,00:02:36.283,156.283,511,00:00:08.517,8.517
8,9378,00:02:36.283,156.283,11192,00:03:06.533,186.533,1815,00:00:30.250,30.250
9,11193,00:03:06.533,186.533,13605,00:03:46.750,226.750,2413,00:00:40.217,40.217
10,13606,00:03:46.750,226.750,14693,00:04:04.883,244.883,1088,00:00:18.133,18.133
11,14694,00:04:04.883,244.883,16020,00:04:27.000,267.000,1327,00:00:22.117,22.117
12,16021,00:04:27.000,267.000,21872,00:06:04.533,364.533,5852,00:01:37.533,97.533
13,21873,00:06:04.533,364.533,26437,00:07:20.617,440.617,4565,00:01:16.083,76.083
14,26438,00:07:20.617,440.617,31767,00:08:49.450,529.450,5330,00:01:28.833,88.833
15,31768,00:08:49.450,529.450,32554,00:09:02.567,542.567,787,00:00:13.117,13.117
16,32555,00:09:02.567,542.567,32986,00:09:09.767,549.767,432,00:00:07.200,7.200
17,32987,00:09:09.767,549.767,34667,00:09:37.783,577.783,1681,00:00:28.017,28.017
18,34668,00:09:37.783,577.783,39354,00:10:55.900,655.900,4687,00:01:18.117,78.117
19,39355,00:10:55.900,655.900,47214,00:13:06.900,786.900,7860,00:02:11.000,131.000
20,47215,00:13:06.900,786.900,50488,00:14:01.467,841.467,3274,00:00:54.567,54.567
21,50489,00:14:01.467,841.467,54369,00:15:06.150,906.150,3881,00:01:04.683,64.683
22,54370,00:15:06.150,906.150,59820,00:16:37.000,997.000,5451,00:01:30.850,90.850
23,59821,00:16:37.000,997.000,62397,00:17:19.950,1039.950,2577,00:00:42.950,42.950
24,62398,00:17:19.950,1039.950,64776,00:17:59.600,1079.600,2379,00:00:39.650,39.650
25,64777,00:17:59.600,1079.600,72407,00:20:06.783,1206.783,7631,00:02:07.183,127.183
26,72408,00:20:06.783,1206.783,79899,00:22:11.650,1331.650,7492,00:02:04.867,124.867
27,79900,00:22:11.650,1331.650,81878,00:22:44.633,1364.633,1979,00:00:32.983,32.983
28,81879,00:22:44.633,1364.633,97314,00:27:01.900,1621.900,15436,00:04:17.267,257.267
29,97315,00:27:01.900,1621.900,98030,00:27:13.833,1633.833,716,00:00:11.933,11.933
30,98031,00:27:13.833,1633.833,100388,00:27:53.133,1673.133,2358,00:00:39.300,39.300
31,100389,00:27:53.133,1673.133,118995,00:33:03.250,1983.250,18607,00:05:10.117,310.117
32,118996,00:33:03.250,1983.250,121117,00:33:38.617,2018.617,2122,00:00:35.367,35.367
33,121118,00:33:38.617,2018.617,123533,00:34:18.883,2058.883,2416,00:00:40.267,40.267
34,123534,00:34:18.883,2058.883,131382,00:36:29.700,2189.700,7849,00:02:10.817,130.817
35,131383,00:36:29.700,2189.700,155865,00:43:17.750,2597.750,24483,00:06:48.050,408.050
36,155866,00:43:17.750,2597.750,159420,00:44:17.000,2657.000,3555,00:00:59.250,59.250
